Schedule,S.No.,Tariff Item (HSN),Description of Goods,CGST Rate (%),SGST/UTGST Rate (%),IGST Rate (%),Compensation Cess
IV,168,8706,"Chassis fitted with engines, for the motor vehicles of headings 8701 to 8705",14%,14%,28%,
IV,169,8707,"Bodies (including cabs), for the motor vehicles of headings 8701 to 8705",14%,14%,28%,
IV,170,8708,Parts and accessories of the motor vehicles of headings 8701 to 8705 [other than specified parts of tractors],14%,14%,28%,
IV,173,8711,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars",14%,14%,28%,
IV,174,8714,Parts and accessories of vehicles of heading 8711,14%,14%,28%,
IV,176,8802 or 8806,Aircrafts for personal use,14%,14%,28%,
IV,177,8903,Yachts and other vessels for pleasure or sports; rowing boats and canoes,14%,14%,28%,
IV,210,9302,"Revolvers and pistols, other than those of heading 9303 or 9304",14%,14%,28%,
IV,222,9614,"Smoking pipes (including pipe bowls) and cigar or cigarette holders, and parts thereof",14%,14%,28%,
IV,227,9804,All dutiable articles intended for personal use,14%,14%,28%,
IV,228,Any chapter,Lottery,14%,14%,28%,
IV,229,Any Chapter,"Actionable claim in the form of chance to win in betting, gambling, or horse racing in race club",14%,14%,28%,
V,1,7101,"Pearls, natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for convenience of transport",1.50%,1.50%,3%,
V,5,7105,Dust and powder of natural or synthetic precious or semi-precious stones,1.50%,1.50%,3%,
V,6,7106,"Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form",1.50%,1.50%,3%,
V,7,7107,"Base metals clad with silver, not further worked than semi-manufactured",1.50%,1.50%,3%,
V,8,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",1.50%,1.50%,3%,
V,9,7109,"Base metals or silver, clad with gold, not further worked than semi-manufactured",1.50%,1.50%,3%,
V,10,7110,"Platinum, unwrought or in semi-manufactured forms, or in powder form",1.50%,1.50%,3%,
V,11,7111,"Base metals, silver or gold, clad with platinum, not further worked than semi-manufactured",1.50%,1.50%,3%,
V,12,7112,Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal,1.50%,1.50%,3%,
V,13,7113,"Articles of jewellery and parts thereof, of precious metal or [of metal clad with precious metal]",1.50%,1.50%,3%,
V,14,7114,"Articles of goldsmiths' or silversmiths' wares and parts thereof, of precious metal or of metal clad with precious metal",1.50%,1.50%,3%,
V,15,7115,Other articles of precious metal or of metal clad with precious metal,1.50%,1.50%,3%,
V,16,7116,"Articles of natural or cultured pearls, precious or semi-precious stones (natural, synthetic or reconstructed)",1.50%,1.50%,3%,
V,17,7117,Imitation jewellery [other than bangles of lac/shellac],1.50%,1.50%,3%,
V,18,7118,Coin,1.50%,1.50%,3%,
V,26*,7113 11 10,Silver filigree work,1.50%,1.50%,3%,
V,27*,7117,"Handmade imitation jewellery (including natural seeds, beads jewelry, cardamom garland)",1.50%,1.50%,3%,
VI,1,7102,"Rough diamonds or simply sawn diamonds, industrial or non-industrial",0.13%,0.13%,0.25%,
VI,2,7103,"Precious stones (other than diamonds) and semi-precious stones, whether or not worked or graded but not strung, mounted or set; ungraded precious stones (other than diamonds) and semi-precious stones, temporarily strung for convenience of transport",0.13%,0.13%,0.25%,
VI,3,7104,"Synthetic or reconstructed precious or semiprecious stones [other than diamonds], whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semiprecious stones [other than diamonds], temporarily strung for convenience of transport; synthetic or reconstructed diamonds, unworked or simply sawn or roughly shaped",0.13%,0.13%,0.25%,
VII,1,7102,Goods other than those specified against S. No. 1 in Schedule VI,0.75%,0.75%,1.50%,
VII,2,7104,Goods other than those specified against S. No. 3 in Schedule VI,0.75%,0.75%,1.50%,
Nil rate,1,101,"Live asses, mules and hinnies",0,0,0,
Nil rate,2,102,Live bovine animals,0,0,0,
Nil rate,3,103,Live swine,0,0,0,
Nil rate,4,104,Live sheep and goats,0,0,0,
Nil rate,5,105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",0,0,0,
Nil rate,6,106,"Other live animal such as Mammals, Birds, Insects",0,0,0,
Nil rate,7,201,"Meat of bovine animals, fresh and chilled",0,0,0,
Nil rate,8,"0203, 0204, 0205, 0206, 0207, 0208, 0209","All goods, fresh or chilled",0,0,0,
Nil rate,18,3,"Fish seeds, prawn / shrimp seeds whether or not processed, frozen",0,0,0,
Nil rate,19,301,Live fish,0,0,0,
Nil rate,20,302,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304",0,0,0,
Nil rate,25,401,"Fresh milk and pasteurised milk, including separated milk, milk and cream, not concentrated nor containing added sugar or other sweetening matter, excluding Ultra High Temperature (UHT) milk",0,0,0,
Nil rate,26,403,"Curd, Lassi, Butter milk, other than pre-packaged and labelled",0,0,0,
Nil rate,27,406,"Chena or paneer, other than pre-packaged and labelled",0,0,0,
Nil rate,28,407,"Birds' eggs, in shell, fresh, preserved or cooked",0,0,0,
Nil rate,29,409,"Natural honey, other than pre-packaged and labelled",0,0,0,
Nil rate,35,701,"Potatoes, fresh or chilled",0,0,0,
Nil rate,36,702,"Tomatoes, fresh or chilled",0,0,0,
Nil rate,37,703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled",0,0,0,
Nil rate,50,803,"Bananas, including plantains, fresh or dried",0,0,0,
Nil rate,51,804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh",0,0,0,
Nil rate,59,"7, 9 or 10",All goods of seed quality,0,0,0,
Nil rate,60,901,"Coffee beans, not roasted",0,0,0,
Nil rate,61,902,Unprocessed green leaves of tea,0,0,0,
Nil rate,64,0910 30 10,"Fresh turmeric, other than in processed form",0,0,0,
Nil rate,65,1001,Wheat and meslin other than pre-packaged and labelled,0,0,0,
Nil rate,70,1006,Rice other than pre-packaged and labelled,0,0,0,
Nil rate,80,1201,"Soya beans, whether or not broken, of seed quality",0,0,0,
Nil rate,94,1701 or 1702,"(i)Jaggery of all types including Cane Jaggery (gur),Palmyra Jaggery, other than pre-packaged and labelled.; (ii) Khandsari Sugar, other than pre-packaged and labelled; (iii) Rab, other than pre-packaged and labelled",0,0,0,
Nil rate,103,2501,"Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solutions or containing added anti-caking or free flowing agents; sea water",0,0,0,
Nil rate,104,2716 00 00,Electrical energy,0,0,0,
Nil rate,106,3002,Human Blood and its components,0,0,0,
Nil rate,107,3006,All types of contraceptives,0,0,0,
Nil rate,108,3101,All goods and organic manure other than pre-packaged and labelled,0,0,0,
Nil rate,111,3825,"Municipal waste, sewage sludge, clinical waste",0,0,0,
Nil rate,112,3926,Plastic bangles,0,0,0,
Nil rate,113,4014,Condoms and contraceptives,0,0,0,
Nil rate,114,4401,Firewood or fuel wood,0,0,0,
Nil rate,115,4902,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising material",0,0,0,
Nil rate,119,4901,"Printed books, including Braille books",0,0,0,
Nil rate,121,4903,"Children's picture, drawing or colouring books",0,0,0,
Nil rate,125,5001,"Silkworm laying, cocoon",0,0,0,
Nil rate,126,5002,Raw silk,0,0,0,
Nil rate,128,5103,Waste of wool or of fine or coarse animal hair,0,0,0,
Nil rate,129,52,Gandhi Topi,0,0,0,
Nil rate,130,52,Khadi yarn,0,0,0,
Nil rate,131,5303,"Jute fibres, raw or processed but not spun",0,0,0,
Nil rate,132,5305,Coconut coir fibre,0,0,0,
Nil rate,133,63,Indian National Flag,0,0,0,
Nil rate,135,6912 00 40,Earthen pot and clay lamps,0,0,0,
Nil rate,135A,69,Idols made of clay,0,0,0,
Nil rate,136,7018,Glass bangles (except those made from precious metals),0,0,0,
Nil rate,142,9021,Hearing aids,0,0,0,
Nil rate,145,9609,Slate pencils and chalk sticks,0,0,0,
Nil rate,146,9610 00 00,Slates,0,0,0,
Nil rate,149,-,"Supply of lottery by any person other than State Government, Union Territory or Local authority subject to certain conditions",0,0,0,
Compensation Cess,1,2106 90 20,Pan-masala,,,,0.32R per unit
Compensation Cess,2,2202 10 10,Aerated waters,,,,12%
Compensation Cess,3,2202 10 20,Lemonade,,,,12%
Compensation Cess,5,2401,Unmanufactured tobacco (without lime tube) - bearing a brand name,,,,0.36R per unit
Compensation Cess,8,2402 10 10,Cigar and cheroots,,,,"21% or Rs. 4170 per thousand, whichever is higher"
Compensation Cess,10,2402 20 10,"Cigarettes containing tobacco other than filter cigarettes, of length not exceeding 65 millimetres",,,,5% + Rs.2076 per thousand
Compensation Cess,12,2402 20 30,"Filter cigarettes of length (including the length of the filter, the length of the filter being 11 millimetres or its actual length, whichever is more) not exceeding 65 millimetres",,,,5% + Rs.2076 per thousand
Compensation Cess,39,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",,,,Rs.400 per tonne
Compensation Cess,42,"8702 10, 8702 20, 8702 30, 8702 90","Motor vehicles for the transport of not more than 13 persons, including the driver, other than the vehicles mentioned in S. No. 50 and 51",,,,15%
Compensation Cess,44,"8703 10, 8703 80","Electrically operated vehicles, including three wheeled electric motor vehicles",,,,NIL
Compensation Cess,45,8703,Three wheeled vehicles,,,,NIL
Compensation Cess,50,"8702, 8703 21 or 8703 22","Petrol, Liquefied petroleum gases (LPG) or compressed natural gas (CNG) driven motor vehicles of engine capacity not exceeding 1200cc and of length not exceeding 4000 mm",,,,1%
Compensation Cess,51,"8702, 8703 31",Diesel driven motor vehicles of engine capacity not exceeding 1500 cc and of length not exceeding 4000 mm,,,,3%
Compensation Cess,52,[8703,Motor vehicles of engine capacity not exceeding 1500 cc,,,,17%
Compensation Cess,52A,8703,Motor vehicles of engine capacity exceeding 1500 cc other than motor vehicles specified against entry at S. No 52B,,,,20%
Compensation Cess,52B,8703,"Motor vehicles of engine capacity exceeding 1500 cc, popularly known as Sports Utility Vehicles (SUVs) including utility vehicles",,,,22%
Compensation Cess,53,8711,Motorcycles of engine capacity exceeding 350 cc,,,,3%
Compensation Cess,54,8802 or 8806,"Other aircraft (for example, helicopters, aeroplanes), for personal use",,,,3%
Compensation Cess,55,8903,Yacht and other vessels for pleasure or sports,,,,3%
