S.No.,Chapter / Section / Heading,Description of Service,CGST Rate (%),SGST/UTGST Rate (%),IGST Rate (%),Condition
7,"Heading 9963 (Accommodation, food and beverage services)","(v) Composite supply of outdoor catering together with renting of premises (including hotel, convention center, club, pandal, shamiana or any other place, specially arranged for organising a function) at premises other than specified premises provided by any person other than suppliers providing hotel accommodation at specified premises or suppliers located in specified premises.",2.5,2.5,5,Credit of input tax charged on goods and services used in supplying the service has not been taken [Please refer to Explanation (iv)]
7,"Heading 9963 (Accommodation, food and beverage services)","(vi) Accommodation, food and beverage services other than (i) to (v) above. This entry covers restaurant service at specified premises; hotel accommodation above Rs. 7500 per unit per day; outdoor catering by suppliers at specified premises; composite supply of outdoor catering together with renting of premises at specified premises.",9,9,18,
8,Heading 9964 (Passenger transport services),"(i) Transport of passengers, with or without accompanied belongings, by rail in first class or air conditioned coach.",2.5,2.5,5,"Credit of input tax charged in respect of goods used in supplying the service is not utilised for paying integrated tax, central tax, state tax or union territory tax on the supply of the service"
8,Heading 9964 (Passenger transport services),"(ii) Transport of passengers, with or without accompanied belongings by (a) air conditioned contract carriage other than motorcab; (b) air conditioned stage carriage; (c) radio taxi.",2.5,2.5,5,Credit of input tax charged on goods and services used in supplying the service has not been taken [Please refer to Explanation no (iv)]
8,Heading 9964 (Passenger transport services),"(iii) Transport of passengers, with or without accompanied belongings, by air in economy class.",2.5,2.5,5,Credit of input tax charged on goods used in supplying the service has not been taken [Please refer to Explanation no. (iv)]
8,Heading 9964 (Passenger transport services),"(iv) Transport of passengers, with or without accompanied belongings, by air, embarking from or terminating in a Regional Connectivity Scheme Airport, as notified by the Ministry of Civil Aviation.",2.5,2.5,5,Credit of input tax charged on goods used in supplying the service has not been taken [Please refer to Explanation no. (iv)]
8,Heading 9964 (Passenger transport services),"(iva) Transportation of passengers, with or without accompanied baggage, by air, by non-scheduled air transport service or charter operations, engaged by specified organisations in respect of religious pilgrimage facilitated by the Government of India, under bilateral arrangement.",2.5,2.5,5,Credit of input tax charged on goods used in supplying the service has not been taken [Please refer to clause (iv) of paragraph 4 relating to Explanation]
8,Heading 9964 (Passenger transport services),"(v) Transport of passengers by air, with or without accompanied belongings, in other than economy class.",6,6,12,-
8,Heading 9964 (Passenger transport services),(vi) Transport of passengers by any motor vehicle designed to carry passengers where the cost of fuel is included in the consideration charged from the service recipient.,2.5,2.5,5,"Credit of input tax charged on goods and services used in supplying the service, other than input tax credit of input service in the same line of business (i.e. service procured from another service provider of transporting passengers in a motor vehicle or renting of a motor vehicle), has not been taken [Please refer to Explanation no. (iv)]"
8,Heading 9964 (Passenger transport services),"(via) Transport of passengers, with or without accompanied belongings, by ropeways.",2.5,2.5,5,The credit of input tax charged on goods used in supplying the service has not been taken [Please refer to Explanation no. (iv)]
8,Heading 9964 (Passenger transport services),"(vii) Passenger transport services other than (i), (ii), (iii), (iv), (iva), (v), (vi) and (via) above.",9,9,18,-
9,Heading 9965 (Goods transport services),(i) Transport of goods by rail (other than services specified at item no. (iv)).,2.5,2.5,5,"Credit of input tax charged in respect of goods in supplying the service is not utilised for paying integrated tax, central tax, state tax or union territory tax on the supply of the service"
9,Heading 9965 (Goods transport services),(ii) Transport of goods in a vessel including services provided or agreed to be provided by a person located in non-taxable territory to a person located in non-taxable territory by way of transportation of goods by a vessel from a place outside India up to the customs station of clearance in India.,2.5,2.5,5,"Credit of input tax charged on goods (other than on ships, vessels including bulk carriers and tankers) used in supplying the service has not been taken. This condition will not apply where the supplier of service is located in non-taxable territory. [Please refer to Explanation no. (iv)]"
