S.No.,Chapter / Section / Heading,Description of Service,CGST Rate (%),SGST/UTGST Rate (%),IGST Rate (%),Condition
,Chapter 99,"Services supplied by an establishment of a person in India to any establishment of that person outside India, which are treated as establishments of distinct persons in accordance with Explanation 1 in section 8 of the IGST Act, 2017.",Nil,Nil,Nil,"Provided the place of supply of the service is outside India in accordance with section 13 of Integrated Goods and Services Tax Act, 2017."
,Chapter 99,Import of services by United Nations or a specified international organisation for official use of the United Nations or the specified international organisation.,Nil,Nil,Nil,
,Chapter 99,"Import of services by Foreign diplomatic mission or consular post in India, or diplomatic agents or career consular officers posted therein.",Nil,Nil,Nil,Subject to conditions including certificate issued by the Protocol Division of the Ministry of External Affairs based on principle of reciprocity; services imported are for official purpose or personal use of diplomatic agent or career consular officer or members of his or her family.
,Heading 9954,"Services provided by way of pure labour contracts of construction, erection, commissioning, installation, completion, fitting out, repair, maintenance, renovation, or alteration of a civil structure or any other original works pertaining to the beneficiary-led individual house construction or enhancement under the Housing for All (Urban) Mission or Pradhan Mantri Awas Yojana.",Nil,Nil,Nil,
,Heading 9954,"Services supplied by electricity distribution utilities by way of construction, erection, commissioning, or installation of infrastructure for extending electricity distribution network upto the tube well of the farmer or agriculturalist for agricultural use.",Nil,Nil,Nil,
,Heading 9954,"Services by way of pure labour contracts of construction, erection, commissioning, or installation of original works pertaining to a single residential unit otherwise than as a part of a residential complex.",Nil,Nil,Nil,
,Heading 9961 or Heading 9962,"Service provided by Fair Price Shops to Central Government, State Government or Union territory by way of sale of food grains, kerosene, sugar, edible oil, etc. under Public Distribution System against consideration in the form of commission or margin.",Nil,Nil,Nil,
,Heading 9961,Services provided by an intermediary when location of both supplier and recipient of goods is outside the taxable territory.,Nil,Nil,Nil,Following documents shall be maintained for a minimum duration of five years: (1) Copy of Bill of Lading; (2) Copy of executed contract between Supplier/Seller and Receiver/Buyer of goods; (3) Copy of commission debit note raised by an intermediary; (4) Copy of certificate of origin; (5) Declaration letter from an intermediary service provider confirming commission debit note raised relates to contract when both supplier and receiver of goods are outside the taxable territory.
,Heading 9963 or Heading 9972,"Services by way of renting of residential dwelling for use as residence except where the residential dwelling is rented to a registered person. This entry shall cover services by way of renting of residential dwelling to a registered person where the registered person is proprietor of a proprietorship concern and rents the residential dwelling in his personal capacity for use as his own residence, and such renting is on his own account and not that of the proprietorship concern.",Nil,Nil,Nil,
,Heading 9963 or Heading 9972 or Heading 9995 or any other Heading of Section 9,"Services by a person by way of (a) conduct of any religious ceremony; (b) renting of precincts of a religious place meant for general public, owned or managed by an entity registered as a charitable or religious trust under section 12AA or 12AB of the Income-tax Act. Provided that entry (b) shall not apply to renting of rooms where charges are Rs. 1000 or more per day; renting of premises where charges are Rs. 10000 or more per day; renting of shops or other spaces for business or commerce where charges are Rs. 10000 or more per month.",Nil,Nil,Nil,
,Heading 9964,"Transport of passengers, with or without accompanied belongings, by (a) air in economy class, embarking from or terminating in an airport located in specified north-eastern states or at Bagdogra; (b) non-airconditioned contract carriage other than radio taxi, for transportation of passengers, excluding tourism, conducted tour, charter or hire; or (c) stage carriage other than air-conditioned stage carriage.",Nil,Nil,Nil,
,Heading 9964,"Services provided to the Central Government, by way of transport of passengers with or without accompanied belongings, by air, embarking from or terminating at a regional connectivity scheme airport, against consideration in the form of viability gap funding.",Nil,Nil,Nil,
,Heading 9964,"Service of transportation of passengers, with or without accompanied belongings, by (a) railways in a class other than first class or air-conditioned coach; (b) metro, monorail or tramway; (c) inland waterways; (d) public transport in a vessel between places located in India; and (e) metered cabs or auto rickshaws (including e-rickshaws).",Nil,Nil,Nil,
,Heading 9965,"Services by way of transportation of goods by road except services of (i) a goods transportation agency; (ii) a courier agency, and by inland waterways.",Nil,Nil,Nil,
,Heading 9965,Services by way of transportation of goods by an aircraft from a place outside India upto the customs station of clearance in India.,Nil,Nil,Nil,
,Heading 9965,Services by way of transportation of goods by an aircraft from customs station of clearance in India to a place outside India.,Nil,Nil,Nil,Nothing contained in this serial number shall apply after the 30th day of September 2022.
,Heading 9965,Services by way of transportation of goods by a vessel from customs station of clearance in India to a place outside India.,Nil,Nil,Nil,Nothing contained in this serial number shall apply after 30th day of September 2022.
,Heading 9965,"Satellite launch services supplied by Indian Space Research Organisation, Antrix Corporation Limited or New Space India Limited.",Nil,Nil,Nil,
,Heading 9965,"Services by way of transportation by rail or a vessel from one place in India to another of the following goods: (a) relief materials for victims of natural or man-made disasters; (b) defence or military equipments; (c) newspaper or magazines registered with the Registrar of Newspapers; (e) agricultural produce; (f) milk, salt and food grain including flours, pulses and rice; and (g) organic manure.",Nil,Nil,Nil,
,Heading 9965 or Heading 9967,"Services provided by a goods transport agency, by way of transport in a goods carriage of (a) agricultural produce; (d) milk, salt and food grain including flour, pulses and rice; (e) organic manure; (f) newspaper or magazines registered with the Registrar of Newspapers; (g) relief materials for victims of natural or man-made disasters; or (h) defence or military equipments.",Nil,Nil,Nil,
,Heading 9965 or Heading 9967,"Services provided by a goods transport agency to an unregistered person, including an unregistered casual taxable person, other than recipients who are factories, societies, co-operative societies, body corporates, partnership firms, or casual taxable persons registered under CGST/IGST/SGST/UTGST Act.",Nil,Nil,Nil,
,Heading 9965 or Heading 9967,"Services provided by a goods transport agency, by way of transport of goods in a goods carriage, to (a) a Department or Establishment of the Central Government or State Government or Union territory; or (b) local authority; or (c) Governmental agencies which has taken registration under the CGST Act, 2017 only for the purpose of deducting tax under Section 51 and not for making a taxable supply of goods or services.",Nil,Nil,Nil,
,Heading 9966 or Heading 9973,"Services by way of giving on hire (a) to a state transport undertaking, a motor vehicle meant to carry more than twelve passengers; or (aa) to a local authority, an Electrically operated vehicle meant to carry more than twelve passengers; or (b) to a goods transport agency, a means of transportation of goods; (c) motor vehicle for transport of students, faculty and staff to a person providing services of transportation of students, faculty and staff to an educational institution providing services by way of pre-school education and education upto higher secondary school or equivalent.",Nil,Nil,Nil,
,Heading 9967,Service by way of access to a road or a bridge on payment of toll charges.,Nil,Nil,Nil,
,Heading 9967 or Heading 9985,"Services by way of loading, unloading, packing, storage or warehousing of rice.",Nil,Nil,Nil,
,Heading 9967 or Heading 9985,Services by way of warehousing of minor forest produce.,Nil,Nil,Nil,
,Heading 9967 or Heading 9985,"Services by way of storage or warehousing of cereals, pulses, fruits and vegetables.",Nil,Nil,Nil,
,Chapter 9968,"Services by the Department of Posts by way of post card, inland letter, book post and ordinary post (envelopes weighing less than 10 grams).",Nil,Nil,Nil,
,Heading 9969,Transmission or distribution of electricity by an electricity transmission or distribution utility.,Nil,Nil,Nil,
,Heading 9971,"Services by way of (a) extending deposits, loans or advances in so far as the consideration is represented by way of interest or discount (other than interest involved in credit card services); (b) inter se sale or purchase of foreign currency amongst banks or authorised dealers of foreign exchange or amongst banks and such dealers.",Nil,Nil,Nil,
,Heading 9971,Services provided by a banking company to Basic Saving Bank Deposit (BSBD) account holders under Pradhan Mantri Jan Dhan Yojana (PMJDY).,Nil,Nil,Nil,
,Heading 9971 or Heading 9991,"Services of life insurance business provided by way of annuity under the National Pension System regulated by the Pension Fund Regulatory and Development Authority of India under the Pension Fund Regulatory and Development Authority Act, 2013.",Nil,Nil,Nil,
,Heading 9971 or Heading 9991,"Services of life insurance business provided or agreed to be provided by the Army, Naval and Air Force Group Insurance Funds to members of the Army, Navy and Air Force, respectively, under the Group Insurance Schemes of the Central Government.",Nil,Nil,Nil,
,Heading 9971 or Heading 9991,Services of life insurance provided or agreed to be provided by the Naval Group Insurance Fund to the personnel of Coast Guard under the Group Insurance Schemes of the Central Government.,Nil,Nil,Nil,
,Heading 9971 or Heading 9991,Services of life insurance provided or agreed to be provided by the Central Armed Police Forces (under Ministry of Home Affairs) Group Insurance Funds to their members under the Group Insurance Schemes of the concerned Central Armed Police Force.,Nil,Nil,Nil,
,Heading 9971 or Heading 9991,"Services by the Employees' State Insurance Corporation to persons governed under the Employees' State Insurance Act, 1948.",Nil,Nil,Nil,
,Heading 9971,"Services provided by the Employees Provident Fund Organisation to the persons governed under the Employees Provident Funds and the Miscellaneous Provisions Act, 1952.",Nil,Nil,Nil,
,Heading 9971 or Heading 9991,"Services by Coal Mines Provident Fund Organisation to persons governed by the Coal Mines Provident Fund and Miscellaneous Provisions Act, 1948.",Nil,Nil,Nil,
,Heading 9971 or Heading 9991,Services by National Pension System (NPS) Trust to its members against consideration in the form of administrative fee.,Nil,Nil,Nil,
,Heading 9971,"Services by an acquiring bank, to any person in relation to settlement of an amount upto two thousand rupees in a single transaction transacted through credit card, debit card, charge card or other payment card service.",Nil,Nil,Nil,
,Heading 9971,"Services supplied by Central Government, State Government, Union territory to their undertakings or Public Sector Undertakings (PSUs) by way of guaranteeing the loans taken by such undertakings or PSUs from the banking companies and financial institutions.",Nil,Nil,Nil,
,Heading 9971 or Heading 9991,Services of general insurance business provided under following schemes: (a) Hut Insurance Scheme; (b) Cattle Insurance under Swarnajaynti Gram Swarozgar Yojna; (c) Scheme for Insurance of Tribals; (d) Janata Personal Accident Policy and Gramin Accident Policy; (e) Group Personal Accident Policy for Self-Employed Women; (f) Agricultural Pumpset and Failed Well Insurance; (g) premia collected on export credit insurance; (h) Restructured Weather Based Crop Insurance Scheme (RWCIS); (i) Jan Arogya Bima Policy; (j) Pradhan Mantri Fasal Bima Yojana; (k) Pilot Scheme on Seed Crop Insurance; (l) Central Sector Scheme on Cattle Insurance; (m) Universal Health Insurance Scheme; (n) Rashtriya Swasthya Bima Yojana; (o) Coconut Palm Insurance Scheme; (p) Pradhan Mantri Suraksha Bima Yojna; (q) Niramaya Health Insurance Scheme; (r) Bangla Shasya Bima.,Nil,Nil,Nil,
,Heading 9971 or Heading 9991,Services of life insurance business provided under following schemes: (a) Janashree Bima Yojana; (b) Aam Aadmi Bima Yojana; (c) Life micro-insurance product approved by IRDA having maximum amount of cover of two lakhs rupees; (d) Varishtha Pension Bima Yojana; (e) Pradhan Mantri Jeevan Jyoti Bima Yojana; (f) Pradhan Mantri Jan Dhan Yogana; (g) Pradhan Mantri Vaya Vandan Yojana.,Nil,Nil,Nil,
,Heading 9971 or Heading 9991,Services by way of reinsurance of the insurance schemes specified in serial numbers 36 or 37 or 41.,Nil,Nil,Nil,
,Heading 9971 or Heading 9991,Services by way of collection of contribution under the Atal Pension Yojana.,Nil,Nil,Nil,
,Heading 9971 or Heading 9991,Services by way of collection of contribution under any pension scheme of the State Governments.,Nil,Nil,Nil,
,Heading 9971 or Heading 9985,Services by the following persons in respective capacities: (a) business facilitator or a business correspondent to a banking company with respect to accounts in its rural area branch; (b) any person as an intermediary to a business facilitator or a business correspondent with respect to services mentioned in entry (a); or (c) business facilitator or a business correspondent to an insurance company in a rural area.,Nil,Nil,Nil,
,Heading 9971,Services by an intermediary of financial services located in a multi services SEZ with International Financial Services Centre (IFSC) status to a customer located outside India for international financial services in currencies other than Indian rupees (INR).,Nil,Nil,Nil,
,Heading 9971 or Heading 9991,"Services provided to the Central Government, State Government, Union territory under any insurance scheme for which total premium is paid by the Central Government, State Government, Union territory.",Nil,Nil,Nil,
,Heading 9971,"Services received by the Reserve Bank of India, from outside India in relation to management of foreign exchange reserves.",Nil,Nil,Nil,
,Heading 9972,"Upfront amount payable in respect of service by way of granting of long term lease (30 years or more) of industrial plots or plots for development of infrastructure for financial business, provided by the State Government Industrial Development Corporations or Undertakings or by any other entity having 20 per cent. or more ownership of Central Government, State Government, Union territory to the industrial units or the developers in any industrial or financial business area.",Nil,Nil,Nil,"Provided that the leased plots shall be used for the purpose for which they are allotted, that is, for industrial or financial activity in an industrial or financial business area."
,Heading 9972,"Service by way of transfer of development rights (TDR) or Floor Space Index (FSI) (including additional FSI) on or after 1st April, 2019 for construction of residential apartments by a promoter in a project, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received after issuance of completion certificate or first occupation.",Nil,Nil,Nil,"Provided that the promoter shall be liable to pay tax at the applicable rate, on reverse charge basis, on such proportion of value of development rights or FSI attributable to the residential apartments which remain un-booked on the date of issuance of completion certificate or first occupation."
,Heading 9972,"Upfront amount payable in respect of service by way of granting of long term lease of thirty years or more, on or after 01.04.2019, for construction of residential apartments by a promoter in a project, intended for sale to a buyer, wholly or partly, except where the entire consideration has been received after issuance of completion certificate or first occupation.",Nil,Nil,Nil,"Provided that the promoter shall be liable to pay tax at the applicable rate, on reverse charge basis, on such proportion of upfront amount attributable to the residential apartments which remain un-booked on the date of issuance of completion certificate or first occupation."
,Heading 9973 or Heading 9991,"Services provided by the Central Government, State Government, Union territory or local authority by way of allowing a business entity to operate as a telecom service provider or use radio frequency spectrum during the period prior to the 1st April, 2016, on payment of licence fee or spectrum user charges.",Nil,Nil,Nil,
,Heading 9981,Services provided by an incubatee up to a total turnover of fifty lakh rupees in a financial year subject to the following conditions: (a) the total turnover had not exceeded fifty lakh rupees during the preceding financial year; and (b) a period of three years has not elapsed from the date of entering into an agreement as an incubate.,Nil,Nil,Nil,
,Heading 9982 or Heading 9991,"Services provided by (a) an arbitral tribunal; (b) a partnership firm of advocates or an individual as an advocate other than a senior advocate, by way of legal services to an advocate or partnership firm of advocates, any person other than a business entity, a business entity with aggregate turnover up to the exemption threshold, or the Central Government, State Government, Union territory, local authority, Governmental Authority or Government Entity; (c) a senior advocate by way of legal services to any person other than a business entity or a business entity with aggregate turnover up to the exemption threshold.",Nil,Nil,Nil,
,Heading 9983,Services by a veterinary clinic in relation to health care of animals or birds.,Nil,Nil,Nil,
,Heading 9983 or Heading 9991,"Services provided by the Central Government, State Government, Union territory or local authority by way of (a) registration required under any law for the time being in force; (b) testing, calibration, safety check or certification relating to protection or safety of workers, consumers or public at large, including fire license, required under any law for the time being in force.",Nil,Nil,Nil,
,Heading 9983 or any other Heading of Chapter 99,"Taxable services, provided or to be provided, by a Technology Business Incubator or a Science and Technology Entrepreneurship Park recognised by the National Science and Technology Entrepreneurship Development Board of the Department of Science and Technology, Government of India or bio-incubators recognised by the Biotechnology Industry Research Assistance Council, under the Department of Biotechnology, Government of India.",Nil,Nil,Nil,
,Heading 9984,"Services by way of collecting or providing news by an independent journalist, Press Trust of India or United News of India.",Nil,Nil,Nil,
,Heading 9984,"Services of public libraries by way of lending of books, publications or any other knowledge-enhancing content or material.",Nil,Nil,Nil,
,Heading 9985,Services provided by a tour operator to a foreign tourist in relation to a tour conducted wholly outside India.,Nil,Nil,Nil,
,Heading 9985,Services by an organiser to any person in respect of a business exhibition held outside India.,Nil,Nil,Nil,
,Heading 9985,"Tour operator service, which is performed partly in India and partly outside India, supplied by a tour operator to a foreign tourist, to the extent of the value of the tour operator service which is performed outside India.",Nil,Nil,Nil,
,Heading 9985,"Services by way of sponsorship of sporting events organised by a national sports federation or its affiliated federations where the participating teams or individuals represent any district, State, zone or Country; by Association of Indian Universities, Inter-University Sports Board, School Games Federation of India, All India Sports Council for the Deaf, Paralympic Committee of India or Special Olympics Bharat; by the Central Civil Services Cultural and Sports Board; as part of national games, by the Indian Olympic Association; or under the Panchayat Yuva Kreeda Aur Khel Abhiyaan Scheme.",Nil,Nil,Nil,
,Heading 9986,"Services relating to cultivation of plants and rearing of all life forms of animals (except rearing of horses) for food, fibre, fuel, raw material or other similar products or agricultural produce by way of agricultural operations directly related to production of agricultural produce including cultivation, harvesting, threshing, plant protection or testing; supply of farm labour; processes carried out at an agricultural farm including tending, pruning, cutting, harvesting, drying, cleaning, trimming, sun drying, fumigating, curing, sorting, grading, cooling or bulk packaging; renting or leasing of agro machinery or vacant land; loading, unloading, packing, storage or warehousing of agricultural produce; agricultural extension services; services by any Agricultural Produce Marketing Committee or Board or commission agent for sale or purchase of agricultural produce.",Nil,Nil,Nil,
,Heading 9986,"Carrying out an intermediate production process as job work in relation to cultivation of plants and rearing of all life forms of animals (except rearing of horses) for food, fibre, fuel, raw material or other similar products or agricultural produce.",Nil,Nil,Nil,
,Heading 9986,Services by way of artificial insemination of livestock (other than horses).,Nil,Nil,Nil,
,Heading 9988 or Heading 9992,"Services provided by the National Centre for Cold Chain Development under the Ministry of Agriculture, Cooperation and Farmer's Welfare by way of cold chain knowledge dissemination.",Nil,Nil,Nil,
,Heading 9999,Services by a foreign diplomatic mission located in India.,Nil,Nil,Nil,
,Heading 9991,"Services by a specified organisation in respect of a religious pilgrimage facilitated by the Government of India, under bilateral arrangement.",Nil,Nil,Nil,
,Heading 9991,"Services provided by the Central Government, State Government, Union territory or local authority by way of issuance of passport, visa, driving licence, birth certificate or death certificate.",Nil,Nil,Nil,
,Heading 9991,Services by way of granting National Permit to a goods carriage to operate throughout India / contiguous States.,Nil,Nil,Nil,
,Heading 9991 or Heading 9997,"Services provided by the Central Government, State Government, Union territory or local authority by way of tolerating non-performance of a contract for which consideration in the form of fines or liquidated damages is payable to the Central Government, State Government, Union territory or local authority under such contract.",Nil,Nil,Nil,
,Heading 9991,"Services provided by the Central Government, State Government, Union territory or local authority by way of assignment of right to use natural resources to an individual farmer for cultivation of plants and rearing of all life forms of animals (except the rearing of horses) for food, fibre, fuel, raw material or other similar products.",Nil,Nil,Nil,
,Heading 9991 or Heading 9973,"Services provided by the Central Government, State Government, Union territory or local authority by way of assignment of right to use any natural resource where such right to use was assigned by the Central Government, State Government, Union territory or local authority before the 1st April, 2016.",Nil,Nil,Nil,
,Heading 9991,"Services provided by the Central Government, State Government, Union territory by way of deputing officers after office hours or on holidays for inspection or container stuffing or such other duties in relation to import export cargo on payment of Merchant Overtime charges.",Nil,Nil,Nil,
,Heading 9991,"Services by way of providing information under the Right to Information Act, 2005.",Nil,Nil,Nil,
,Heading 9991 or any other Heading,Services supplied by a State Government to Excess Royalty Collection Contractor (ERCC) by way of assigning the right to collect royalty on behalf of the State Government on the mineral dispatched by the mining lease holders.,Nil,Nil,Nil,"Provided that at the end of the contract period, ERCC shall submit an account to the State Government and certify that the amount of goods and services tax deposited by mining lease holders on royalty is more than the goods and services tax exempted on the service provided by State Government to the ERCC."
,Heading 9992 or Heading 9963,"Services provided (a) by an educational institution to its students, faculty and staff; (aa) by an educational institution by way of conduct of entrance examination against consideration in the form of entrance fee; (b) to an educational institution, by way of transportation of students, faculty and staff; catering, including any mid-day meals scheme; security or cleaning or house-keeping services; services relating to admission to, or conduct of examination; supply of online educational journals or periodicals.",Nil,Nil,Nil,
,Heading 9992 or Heading 9996,"Services provided to a recognised sports body by (a) an individual as a player, referee, umpire, coach or team manager for participation in a sporting event organised by a recognized sports body; (b) another recognised sports body.",Nil,Nil,Nil,
,Heading 9992 or Heading 9983 or Heading 9991,"Any services provided by the National Skill Development Corporation, a Sector Skill Council approved by NSDC, an assessment agency approved by the Sector Skill Council or NSDC, or a training partner approved by NSDC or the Sector Skill Council, in relation to the National Skill Development Programme, a vocational skill development course under the National Skill Certification and Monetary Reward Scheme, or any other Scheme implemented by NSDC.",Nil,Nil,Nil,
,Heading 9983 or Heading 9985 or Heading 9992,"Services of assessing bodies empanelled centrally by the Directorate General of Training, Ministry of Skill Development and Entrepreneurship by way of assessments under the Skill Development Initiative Scheme.",Nil,Nil,Nil,
,Heading 9992,Services provided by training providers (Project implementation agencies) under Deen Dayal Upadhyaya Grameen Kaushalya Yojana by way of offering skill or vocational training courses certified by the National Council for Vocational Training.,Nil,Nil,Nil,
,Heading 9992,"Services provided to the Central Government, State Government, Union territory administration under any training programme for which 75% or more of the total expenditure is borne by the Central Government, State Government, Union territory administration.",Nil,Nil,Nil,
,Heading 9993,"Services by way of (a) health care services by a clinical establishment, an authorised medical practitioner or para-medics; (b) services provided by way of transportation of a patient in an ambulance, other than those specified in (a) above.",Nil,Nil,Nil,
,Heading 9993,"Services provided by rehabilitation professionals recognised under the Rehabilitation Council of India Act, 1992 by way of rehabilitation, therapy or counselling and such other activity as covered by the said Act at medical establishments, educational institutions, rehabilitation centers established by Central Government, State Government or Union territory or an entity registered under section 12AA or 12AB of the Income-tax Act, 1961.",Nil,Nil,Nil,
,Heading 9994,"Services by way of public conveniences such as provision of facilities of bathroom, washrooms, lavatories, urinal or toilets.",Nil,Nil,Nil,
,Heading 9995,"Service by an unincorporated body or a non-profit entity registered under any law for the time being in force, to its own members by way of reimbursement of charges or share of contribution (a) as a trade union; (b) for the provision of carrying out any activity which is exempt from the levy of Goods and service Tax; or (c) up to an amount of seven thousand five hundred rupees per month per member for sourcing of goods or services from a third person for the common use of its members in a housing society or a residential complex.",Nil,Nil,Nil,
,Heading 9995,"Services provided by an unincorporated body or a non-profit entity registered under any law for the time being in force, engaged in (i) activities relating to the welfare of industrial or agricultural labour or farmer; or (ii) promotion of trade, commerce, industry, agriculture, art, science, literature, culture, sports, education, social welfare, charitable activities and protection of environment, to its own members against consideration in the form of membership fee upto an amount of one thousand rupees (Rs 1000/-) per member per year.",Nil,Nil,Nil,
,Heading 9996,"Services by an artist by way of a performance in folk or classical art forms of (a) music, or (b) dance, or (c) theatre, if the consideration charged for such performance is not more than one lakh and fifty thousand rupees. Provided that the exemption shall not apply to service provided by such artist as a brand ambassador.",Nil,Nil,Nil,
,Heading 9996,"Services by way of admission to a museum, national park, wildlife sanctuary, tiger reserve or zoo.",Nil,Nil,Nil,
,Heading 9996,"Services by way of admission to a protected monument so declared under the Ancient Monuments and Archaeological Sites and Remains Act 1958 or any of the State Acts, for the time being in force.",Nil,Nil,Nil,
,Heading 9996,"Services by way of training or coaching in (a) recreational activities relating to arts or culture, by an individual, or (b) sports by charitable entities registered under Section 12AA or 12AB of the Income Tax Act.",Nil,Nil,Nil,
,Heading 9996,"Services by way of right to admission to (a) circus, dance, or theatrical performance including drama or ballet; (b) award function, concert, pageant, musical performance or any sporting event other than a recognised sporting event; (c) recognised sporting event; (d) planetarium, where the consideration for right to admission is not more than Rs 500 per person.",Nil,Nil,Nil,
,Chapter 9996,Services by way of right to admission to the events organised under FIFA U-17 World Cup 2017.,Nil,Nil,Nil,
,Heading 9996,Services by way of right to admission to the events organised under FIFA U-17 Women's World Cup 2020 [whenever rescheduled].,Nil,Nil,Nil,
,Heading 9996,Services by way of right to admission to the events organised under AFC Women's Asia Cup 2022.,Nil,Nil,Nil,
